"","HGNC.ID","Approved.symbol"
"178","HGNC:16467","ACAP1"
"179","HGNC:16469","ACAP2"
"180","HGNC:41426","ACAP2-IT1"
"181","HGNC:16754","ACAP3"
"182","HGNC:93","ACAT1"
"183","HGNC:94","ACAT2"
"184","HGNC:15453","ACBD3"
"185","HGNC:40701","ACBD3-AS1"
"186","HGNC:23337","ACBD4"
"187","HGNC:23338","ACBD5"
"188","HGNC:23339","ACBD6"
"189","HGNC:17715","ACBD7"
"190","HGNC:23989","ACCS"
"191","HGNC:34391","ACCSL"
"192","HGNC:25070","ACD"
"193","HGNC:2707","ACE"
"194","HGNC:13557","ACE2"
"195","HGNC:44365","ACE3P"
"196","HGNC:18356","ACER1"
"197","HGNC:23675","ACER2"
"198","HGNC:16066","ACER3"
"199","HGNC:108","ACHE"
"200","HGNC:17066","ACIN1"
"201","HGNC:4035","ACKR1"
"202","HGNC:1565","ACKR2"
"203","HGNC:23692","ACKR3"
"204","HGNC:1611","ACKR4"
"205","HGNC:114","ACLS"
"206","HGNC:115","ACLY"
"207","HGNC:116","ACMG"
"208","HGNC:19288","ACMSD"
"209","HGNC:117","ACO1"
"210","HGNC:118","ACO2"
"211","HGNC:33904","ACOD1"
"212","HGNC:33128","ACOT1"
"213","HGNC:18431","ACOT2"
"214","HGNC:19748","ACOT4"
"215","HGNC:33159","ACOT6"
"216","HGNC:24157","ACOT7"
"217","HGNC:15919","ACOT8"
"218","HGNC:17152","ACOT9"
"219","HGNC:18156","ACOT11"
"220","HGNC:24436","ACOT12"
"221","HGNC:20999","ACOT13"
"222","HGNC:119","ACOX1"
"223","HGNC:120","ACOX2"
"224","HGNC:121","ACOX3"
"225","HGNC:25621","ACOXL"
"226","HGNC:41112","ACOXL-AS1"
"227","HGNC:122","ACP1"
"228","HGNC:123","ACP2"
"229","HGNC:124","ACP5"
"230","HGNC:29609","ACP6"
"231","HGNC:33781","ACP7"
"232","HGNC:125","ACPP"
"233","HGNC:14376","ACPT"
"234","HGNC:126","ACR"
"235","HGNC:17195","ACRBP"
"236","HGNC:127","ACRV1"
"237","HGNC:29567","ACSBG1"
"238","HGNC:24174","ACSBG2"
"239","HGNC:26101","ACSF2"
"240","HGNC:27288","ACSF3"
"241","HGNC:3569","ACSL1"
"242","HGNC:3570","ACSL3"
"243","HGNC:3571","ACSL4"
"244","HGNC:16526","ACSL5"
"245","HGNC:16496","ACSL6"
"246","HGNC:18049","ACSM1"
"247","HGNC:32017","ACSM2A"
"248","HGNC:30931","ACSM2B"
"249","HGNC:10522","ACSM3"
"250","HGNC:32016","ACSM4"
"251","HGNC:26060","ACSM5"
"252","HGNC:51295","ACSM5P1"
"253","HGNC:31665","ACSM6"
"254","HGNC:16091","ACSS1"
"255","HGNC:15814","ACSS2"
"256","HGNC:24723","ACSS3"
"257","HGNC:129","ACTA1"
"258","HGNC:130","ACTA2"
"259","HGNC:45169","ACTA2-AS1"
"260","HGNC:132","ACTB"
"261","HGNC:17780","ACTBL2"
"262","HGNC:134","ACTBP1"
"263","HGNC:135","ACTBP2"
"264","HGNC:136","ACTBP3"
"265","HGNC:137","ACTBP4"
"266","HGNC:138","ACTBP5"
"267","HGNC:139","ACTBP6"
"268","HGNC:140","ACTBP7"
"269","HGNC:141","ACTBP8"
"270","HGNC:142","ACTBP9"
"271","HGNC:31819","ACTBP10"
"272","HGNC:33971","ACTBP11"
"273","HGNC:150","ACTBP12"
"274","HGNC:44626","ACTBP13"
"275","HGNC:45086","ACTBP14"
"276","HGNC:143","ACTC1"
"277","HGNC:144","ACTG1"
